"","age","Medu","traveltime","studytime","failures","freetime","goout","Walc","health","G2","G3"
"710",16,4,1,2,0,4,4,3,4,11,11
"711",16,1,4,1,0,5,5,5,5,8,11
"712",16,1,1,2,0,4,3,1,1,10,9
"713",16,4,1,3,0,4,4,4,4,9,9
"714",15,4,1,2,0,4,4,4,2,10,10
"715",16,4,3,2,0,4,3,2,1,15,15
"716",15,4,1,4,0,3,3,5,3,13,12
"717",16,3,1,4,0,3,3,2,5,7,6
"718",15,2,2,2,0,1,3,3,4,9,8
"719",15,3,2,4,0,4,2,3,3,16,16
"720",16,3,2,4,0,3,2,1,5,15,15
"721",15,4,1,4,0,3,3,1,3,10,10
"722",15,1,1,2,2,3,4,4,5,6,5
"723",16,3,1,1,0,3,2,2,5,12,14
"724",16,3,1,2,0,3,3,4,5,12,11
"725",15,4,1,2,0,3,3,3,5,9,10
"726",15,4,2,4,0,4,3,1,1,11,10
"727",16,2,1,4,0,2,3,3,3,11,11
"729",16,3,1,2,0,4,3,2,3,5,5
"730",15,2,1,1,0,2,2,3,3,12,12
"731",15,2,1,3,0,3,2,2,5,10,11
"732",15,3,1,2,0,4,4,1,5,6,6
"733",15,2,2,2,0,3,3,3,4,15,15
"734",15,1,1,2,0,3,2,3,4,10,10
"735",15,4,2,2,2,4,4,3,5,9,8
"736",16,2,1,2,0,3,4,2,2,7,6
"737",15,4,1,3,0,3,3,3,1,14,14
"738",16,2,2,2,1,4,2,1,3,10,10
"739",16,4,1,2,0,1,3,5,5,6,7
"740",16,3,1,3,0,3,3,3,4,7,8
"741",15,4,1,1,0,5,5,3,1,17,18
"742",16,3,1,2,0,3,3,3,2,6,6
"744",15,2,1,4,0,3,4,1,4,13,14
"745",15,1,2,4,1,1,2,1,1,10,10
"746",16,4,2,1,0,3,3,1,4,15,15
"747",16,2,1,2,0,3,5,1,5,9,10
"748",16,4,1,1,0,3,4,2,1,14,14
"749",16,4,1,3,0,3,5,1,3,9,8
"751",16,4,1,3,0,4,3,1,4,17,17
"752",15,4,1,1,0,3,3,1,5,13,14
"757",16,3,1,3,0,3,3,1,5,18,18
"758",15,4,4,4,0,3,5,5,1,13,13
"759",16,4,1,3,0,4,5,1,4,15,16
"760",15,4,1,1,0,5,3,1,4,19,19
"761",16,3,1,3,1,1,2,1,2,10,10
"762",16,2,1,2,1,1,2,1,5,13,13
"763",15,4,1,1,0,5,2,1,3,19,19
"764",15,2,1,2,0,4,2,1,5,9,9
"765",16,4,1,2,0,4,4,2,5,15,16
"766",15,4,2,2,0,4,3,1,2,13,14
"767",16,3,2,1,0,4,2,1,5,14,13
"768",17,1,3,2,1,2,4,4,5,7,8
"769",15,3,1,1,0,4,3,2,4,13,13
"770",15,1,1,2,0,2,3,2,1,15,15
"771",15,2,1,4,0,5,4,2,5,14,15
"772",16,2,2,2,0,2,2,2,5,13,13
"773",16,4,1,1,0,4,4,4,5,11,13
"774",16,2,1,2,0,4,4,1,5,7,8
"776",15,3,1,2,0,3,2,1,1,10,11
"777",19,0,1,2,3,4,2,1,5,8,9
"778",18,2,1,1,2,3,3,2,4,4,0
"779",16,4,1,1,0,5,5,5,4,18,18
"780",15,3,2,3,2,2,2,2,5,0,0
"782",17,2,1,1,0,4,4,3,5,13,12
"784",15,3,4,2,0,3,3,1,5,0,0
"785",15,4,1,3,0,3,3,1,5,0,0
"786",17,3,3,2,0,4,5,4,5,0,0
"788",16,1,1,2,1,4,4,3,5,12,12
"790",15,4,2,4,0,2,2,1,3,9,0
"791",16,2,2,1,2,3,3,2,2,9,9
"792",15,4,1,3,0,2,2,1,5,11,11
"794",17,2,1,1,3,4,5,2,5,0,0
"795",15,1,1,2,0,4,2,2,5,11,11
"796",15,3,1,2,3,3,2,1,3,7,0
"797",15,1,1,2,0,3,2,1,5,11,11
"798",16,4,1,1,0,3,2,1,5,6,0
"802",15,3,2,3,2,2,1,3,3,10,10
"803",19,3,1,1,3,5,4,1,4,0,0
"804",17,4,1,1,0,2,1,1,4,11,12
"805",15,2,1,2,0,4,4,1,1,8,8
"806",17,1,1,1,0,2,2,3,5,12,13
"808",16,2,3,1,0,2,2,2,3,15,15
"809",16,3,1,2,1,5,5,4,5,12,12
"810",17,2,2,1,2,3,2,2,5,6,0
"811",15,3,2,2,2,4,4,4,3,9,7
"812",16,1,2,1,1,4,4,4,5,0,0
"813",17,1,1,1,0,3,3,4,2,10,10
"814",17,1,4,2,3,3,5,5,5,8,7
"815",16,3,2,1,1,5,2,1,2,11,12
"816",16,2,1,2,0,3,5,4,4,10,10
"818",16,2,1,2,0,1,5,1,4,7,0
"820",16,3,3,1,2,4,5,4,2,5,0
"821",16,1,2,2,0,3,2,1,3,15,16
"823",16,1,1,2,3,3,5,1,3,7,0
"824",16,3,2,2,0,4,5,1,4,11,9
"825",17,4,2,2,0,4,4,4,4,9,9
"826",16,2,2,2,0,4,4,4,5,13,11
"827",17,3,1,2,0,3,4,4,4,5,6
"828",16,4,1,1,0,3,3,4,3,8,9
"829",17,4,1,2,0,2,3,1,2,10,11
"830",16,4,1,2,0,4,3,3,3,8,8
"831",16,3,1,2,0,2,3,2,3,13,12
"832",17,2,1,2,0,4,2,3,5,17,17
"833",17,3,1,2,0,3,3,3,1,9,8
"834",16,3,1,2,0,2,2,2,1,13,12
"835",17,3,1,2,0,3,4,3,4,12,11
"836",16,1,1,1,0,3,3,2,3,12,11
"837",16,2,1,2,0,2,3,2,5,15,15
"838",17,3,1,2,0,3,3,3,3,7,9
"839",17,1,1,2,0,1,3,5,3,9,10
"840",16,2,1,2,0,3,3,1,2,12,13
"841",17,1,1,2,0,3,3,1,3,8,9
"843",16,3,1,1,0,3,2,4,5,9,10
"845",17,2,1,2,0,3,2,1,5,15,15
"846",17,4,1,1,0,2,3,2,5,15,16
"847",16,3,3,1,0,3,4,5,3,9,10
"849",16,4,1,2,0,5,2,2,3,9,10
"851",16,2,1,2,0,4,3,3,4,10,10
"852",17,1,1,2,0,4,4,3,1,9,10
"853",17,2,1,1,0,3,2,2,3,6,6
"854",16,2,2,4,0,3,5,1,5,10,11
"855",17,3,1,3,1,4,3,4,5,9,9
"856",16,3,1,2,3,3,3,2,4,7,7
"857",16,4,1,2,0,3,2,1,1,12,13
"858",16,1,2,1,0,3,2,4,5,9,10
"859",17,4,2,3,0,4,2,1,4,7,7
"860",19,3,1,4,0,3,3,2,3,8,8
"861",17,4,1,2,0,3,5,5,3,12,13
"862",16,2,1,2,0,3,4,1,4,13,14
"863",18,2,1,2,1,4,4,4,5,7,8
"864",17,4,1,1,0,2,1,2,3,10,10
"865",17,3,2,2,0,4,4,3,1,15,15
"866",17,4,1,2,2,4,5,4,1,6,4
"867",18,3,1,2,1,2,4,4,4,6,8
"869",17,2,1,3,0,3,3,1,4,10,10
"870",17,2,2,2,0,2,5,2,5,6,6
"871",17,1,1,3,1,3,4,1,5,5,0
"872",16,2,1,2,0,3,1,1,3,16,17
"873",18,2,2,2,0,3,3,5,4,13,13
"874",16,4,1,3,0,3,2,1,5,13,14
"875",18,3,1,2,1,3,3,1,4,8,7
"876",17,3,1,2,0,3,4,3,3,15,15
"877",17,2,1,2,0,3,3,3,3,11,12
"878",18,2,4,2,0,3,2,5,3,8,9
"880",17,4,1,2,0,2,3,2,3,13,14
"881",17,2,2,2,0,5,2,1,1,11,11
"882",17,4,1,2,0,5,5,3,2,9,9
"883",16,4,1,2,0,2,4,4,1,13,13
"884",16,1,2,2,0,4,2,1,5,7,6
"885",16,3,2,3,0,3,3,3,2,9,10
"886",17,2,1,2,0,4,2,5,4,13,13
"887",16,2,1,1,0,5,2,1,5,12,12
"888",17,2,3,2,0,1,1,1,3,11,11
"890",17,4,2,2,0,5,5,4,5,12,12
"891",17,4,2,2,0,3,3,3,4,11,12
"892",16,4,1,1,0,4,5,1,3,0,0
"893",16,4,1,1,0,3,2,2,5,12,12
"894",18,2,2,3,0,4,4,1,3,0,0
"895",16,2,3,1,0,3,3,1,4,18,18
"896",17,2,2,1,0,2,2,1,2,12,13
"897",22,3,1,1,3,4,5,5,1,8,8
"900",18,3,2,1,1,4,5,4,5,8,8
"901",16,3,3,2,0,3,3,3,2,10,10
"902",18,2,1,1,1,2,5,5,5,9,8
"903",16,2,2,1,0,3,2,3,3,9,8
"904",17,2,1,1,0,4,2,4,5,12,12
"905",17,1,2,1,1,4,4,2,5,9,8
"906",17,4,1,4,0,2,3,1,4,12,13
"907",19,4,1,2,0,3,1,1,1,11,11
"909",17,2,1,4,0,4,1,1,2,9,0
"911",18,4,1,2,0,3,2,1,3,8,8
"912",18,3,1,3,0,3,2,1,3,12,12
"913",17,3,1,3,0,2,3,1,4,9,9
"914",18,2,1,3,0,3,3,1,3,10,0
"915",18,3,2,2,0,2,5,4,1,17,17
"916",17,3,1,2,0,4,4,4,5,9,10
"917",18,4,2,2,0,3,4,2,4,10,11
"918",18,4,1,2,0,4,5,3,5,9,10
"919",18,2,2,2,0,3,5,2,3,0,0
"920",19,3,1,2,2,3,5,3,5,9,9
"921",18,2,1,4,0,5,5,3,2,14,14
"922",18,1,2,2,0,4,3,1,3,11,11
"923",17,1,1,2,0,5,2,2,1,14,14
"924",17,2,2,2,0,3,3,1,1,10,10
"925",17,2,2,2,0,4,4,3,5,12,12
"927",18,4,2,1,0,2,4,4,3,9,9
"928",18,4,1,2,1,4,4,1,4,8,8
"929",18,4,2,1,0,2,3,2,1,11,10
"933",18,1,2,2,0,4,4,1,4,9,10
"934",17,2,1,2,0,4,5,2,5,9,11
"935",17,1,1,2,0,3,3,2,4,10,11
"936",18,2,1,3,0,3,3,2,2,18,19
"938",18,2,1,3,0,2,4,3,2,14,14
"939",18,4,1,2,0,4,3,1,2,13,15
"940",18,4,1,2,0,3,2,4,5,11,11
"941",17,4,1,3,0,2,2,2,3,15,15
"942",18,2,1,2,1,4,3,1,5,12,13
"943",17,3,2,4,0,1,2,1,3,18,18
"944",18,3,2,3,0,4,2,1,4,13,14
"945",17,3,1,1,0,4,3,3,5,12,11
"946",19,4,2,2,0,3,4,3,2,9,0
"947",18,4,2,2,0,4,5,2,2,8,8
"948",18,4,1,4,0,3,3,1,3,13,14
"949",18,4,1,1,0,4,2,2,1,15,16
"951",17,4,2,1,0,1,1,2,5,11,10
"952",17,4,2,3,0,3,3,1,3,12,14
"953",17,3,1,4,0,2,2,2,5,17,18
"955",18,2,1,2,1,4,3,1,3,12,12
"956",20,3,1,1,0,5,3,1,5,18,18
"957",19,4,2,1,1,3,4,1,4,9,8
"958",19,3,1,2,1,5,3,2,5,12,12
"959",19,1,1,2,1,4,3,3,3,10,10
"960",19,1,1,2,1,2,4,2,3,9,0
"961",19,2,3,2,0,4,1,1,2,12,13
"962",19,1,1,2,1,5,2,2,4,11,11
"964",19,1,1,3,2,1,2,1,3,13,13
"965",19,2,1,3,1,1,2,1,3,11,11
"966",18,2,2,2,0,3,3,2,1,8,0
"968",17,3,1,3,0,3,4,5,5,11,10
"969",18,4,1,2,0,4,4,3,5,11,11
"970",17,4,1,2,0,2,2,2,5,13,13
"971",17,2,1,2,0,2,2,1,3,9,9
"972",17,2,1,3,0,3,2,2,3,11,11
"973",17,3,1,3,0,4,3,3,5,14,15
"974",17,0,2,3,0,3,3,3,2,15,15
"975",18,4,1,3,0,3,3,2,3,12,11
"976",17,3,1,1,0,3,5,5,5,15,16
"977",17,2,4,1,0,4,5,5,4,10,10
"979",17,4,2,3,0,3,3,2,4,14,14
"980",18,2,1,4,0,5,5,4,5,8,8
"981",17,2,1,3,0,4,3,1,5,14,14
"982",18,3,1,2,0,3,4,1,4,0,0
"983",18,2,1,2,0,3,3,1,2,8,0
"986",19,3,1,3,1,4,3,2,5,13,13
"987",17,3,1,2,0,3,2,3,2,8,0
"988",18,3,1,4,0,3,3,1,1,15,17
"989",17,3,1,2,0,3,3,3,2,10,10
"990",19,2,1,3,1,3,4,3,3,12,11
"991",18,4,1,2,1,3,3,2,2,10,0
"992",18,3,1,2,0,3,3,3,5,15,15
"993",17,2,1,2,1,3,1,2,4,8,0
"995",18,3,1,3,0,4,3,3,1,13,14
"996",18,4,1,3,0,3,2,2,4,15,16
"997",18,4,1,3,0,4,5,3,5,10,9
"998",17,4,1,3,0,4,3,3,4,15,15
"999",18,3,2,1,1,5,5,5,5,13,13
"1000",19,1,3,2,3,4,4,3,2,7,8
"1001",17,3,2,2,0,5,4,3,3,13,13
"1002",18,1,1,1,1,3,3,3,3,7,8
"1004",17,4,2,2,0,5,5,3,2,11,11
"1005",18,3,1,2,0,3,4,1,5,9,9
"1007",17,3,2,2,0,2,3,2,5,12,11
"1008",18,1,2,1,0,3,2,2,3,10,10
"1009",18,1,2,3,0,3,2,1,4,16,16
"1010",18,1,3,2,0,3,4,4,5,13,13
"1011",18,1,2,2,1,4,3,3,5,12,12
"1012",18,3,2,2,0,3,2,3,3,11,10
"1013",17,4,1,2,0,3,4,1,1,15,15
"1015",18,1,2,2,0,3,4,4,3,10,10
"1017",17,1,3,1,1,2,1,2,1,6,0
"1018",18,2,2,1,0,2,3,2,4,10,10
"1019",18,4,3,2,0,2,2,2,5,12,11
"1020",19,3,2,2,2,2,2,1,3,7,9
"1022",17,2,1,3,0,4,3,1,3,11,11
"1023",17,1,1,1,0,5,5,3,1,5,5
"1024",18,4,2,3,0,4,4,1,1,18,19
"1025",18,1,4,3,0,3,2,2,4,8,10
"1026",20,4,2,3,2,4,3,1,3,14,15
"1027",18,4,1,2,0,4,3,4,2,9,10
"1028",18,3,1,2,0,1,3,2,1,15,15
"1029",17,3,1,2,0,5,4,3,1,10,10
"1031",18,2,2,1,0,4,3,3,5,6,7
"1034",18,4,2,1,1,4,3,3,3,5,5
"1035",18,2,2,3,0,3,3,3,4,9,10
"1036",18,4,3,1,0,4,3,2,5,5,6
"1037",19,2,1,3,1,4,2,2,5,5,0
"1038",18,3,1,2,0,3,4,1,1,9,8
"1039",18,1,2,2,1,1,1,1,5,5,0
"1040",20,2,1,2,2,5,4,5,4,9,9
"1041",17,3,2,1,0,4,5,4,2,16,16
"1044",19,1,1,1,0,2,3,3,5,9,9
